PersonID,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,zipcode,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
98976,0,0.9999998999999999,55,60601,0,505.0,0.0,2,0,0,0,0
98991,0,0.547745225,71,60601,0,0.45956469,15666.0,7,0,2,0,0
99012,0,0.044280207,51,60601,0,0.014520352,4200.0,5,0,0,0,0
99023,0,0.9142492940000001,55,60601,4,0.794874627,9052.0,12,0,3,0,0
99027,0,0.02659867,45,60601,0,0.049966369000000004,10406.0,4,0,0,0,2
99033,0,0.142230692,57,60601,0,0.015332198,13500.0,6,0,0,0,0
99044,0,0.047600659000000003,48,60601,0,0.474609375,3583.0,13,0,1,0,1
99048,0,0.022141276,34,60601,0,0.0033320990000000003,2700.0,2,0,0,0,1
99056,0,0.241805016,30,60601,0,0.8644516320000001,3400.0,13,0,1,0,1
99058,0,0.036181472,71,60601,0,0.568798258,5050.0,16,0,2,0,0
99062,0,0.0,50,60601,0,0.5419847329999999,2750.0,6,0,1,0,0
99104,0,0.0,26,60601,0,0.0,2901.0,2,0,0,0,0
99105,0,0.007720507,64,60601,0,0.606957217,2500.0,12,0,1,0,0
99145,0,0.549206628,61,60601,0,2107.0,5250.0,8,0,2,0,1
99147,0,0.18332111199999998,39,60601,0,775.0,5250.0,4,0,0,0,0
99176,0,0.0,66,60601,0,0.0,3393.0,3,0,0,0,0
99193,0,0.9999998999999999,32,60601,0,0.388189987,3894.0,3,0,1,0,2
99200,0,0.056328580999999996,64,60601,0,0.01533163,9000.0,7,0,0,0,0
99206,0,0.828018468,45,60601,0,0.660603113,10279.0,9,0,2,0,4
99217,0,0.029996908,76,60601,0,0.0036355370000000003,4400.0,7,0,0,0,0
99218,0,0.6076785379999999,73,60601,0,0.316967617,6700.0,8,0,2,1,0
99224,0,0.099190081,41,60601,0,0.4452,4999.0,7,0,2,0,0
99233,0,0.019668694,60,60601,0,0.281565791,9400.0,16,0,2,0,1
99238,0,0.001097093,43,60601,0,0.29613407,5250.0,8,0,1,0,0
99246,0,0.36535386,45,60601,1,0.277836598,11333.0,18,0,3,0,2
99249,0,0.325002927,56,60601,0,0.9435794890000001,7000.0,7,0,2,0,2
99262,0,0.9999998999999999,73,60601,0,0.8125519529999999,2405.0,3,0,1,0,0
99267,0,0.018174207,63,60601,0,45.0,5250.0,4,0,0,0,0
99271,0,0.125350795,34,60601,0,0.926029588,2500.0,5,0,2,0,0
99284,0,0.0,39,60601,0,0.440095994,5416.0,6,0,2,0,2
99289,0,0.9999998999999999,30,60601,0,0.8150924540000001,2000.0,3,0,1,0,1
99300,0,0.0,72,60601,0,69.0,5250.0,6,0,0,0,0
99302,0,0.00720612,67,60601,0,11279.0,5250.0,10,0,4,0,0
99311,0,0.046263582000000004,35,60601,1,518.0,5250.0,8,0,0,0,0
99315,0,0.02018697,47,60601,0,2.2287390030000003,3068.0,16,0,4,0,0
99323,0,0.0,32,60601,0,0.0,3360.0,3,0,0,0,1
99371,0,0.026069161,49,60601,0,0.6663441379999999,6200.0,10,0,2,0,2
99375,0,0.010159187,64,60601,2,2804.0,5250.0,11,0,1,0,0
99378,0,0.133801319,55,60601,0,0.037520236,10500.0,10,0,0,0,0
99411,0,0.05331327,52,60601,0,0.19112177600000002,8334.0,6,0,1,0,0
99415,0,0.041988022,62,60601,0,0.41306240899999996,3444.0,11,0,2,0,1
99417,0,0.253186946,56,60601,0,0.7205376170000001,6100.0,11,0,2,0,0
99422,0,4e-05,56,60601,0,0.403935032,15145.0,6,0,4,0,0
99424,0,0.027881093,70,60601,0,0.421020093,3234.0,17,0,1,0,1
99432,0,0.45514044200000003,33,60601,0,671.0,5250.0,5,0,0,0,1
99457,0,0.017736375,48,60601,0,489.0,5250.0,5,0,0,0,0
99458,0,0.040805297000000004,57,60601,0,0.251523901,3116.0,3,0,1,0,0
99465,0,0.12255515800000001,48,60601,0,2651.0,5250.0,14,0,2,0,0
99469,0,0.017899494,49,60601,0,0.356264374,10000.0,13,0,2,0,0
99471,0,0.887056472,24,60601,0,0.043978011,2000.0,3,0,0,0,0
99479,0,0.9999998999999999,52,60601,1,0.214447978,2200.0,2,1,0,0,0
99485,0,0.006477851999999999,64,60601,0,0.175743225,3800.0,5,0,0,0,0
99503,0,0.023764942999999997,40,60601,0,0.386568945,5866.0,9,0,2,0,1
99515,0,0.010704328999999999,73,60601,0,0.002161928,9250.0,10,0,0,0,0
99525,0,0.019736323,52,60601,0,0.150284572,6500.0,9,0,1,0,0
99527,0,0.085054331,56,60601,3,7708.0,5250.0,20,0,10,0,0
99541,0,0.408157007,54,60601,0,0.393989983,9583.0,15,0,1,0,0
99549,0,0.6952609479999999,30,60601,0,0.18693284899999998,550.0,2,0,0,0,0
99566,0,0.548679398,35,60601,0,0.46102284,12083.0,10,0,2,0,4
99574,0,0.085420436,72,60601,0,0.285164835,7279.0,15,0,1,0,0
99597,0,0.0,49,60601,0,0.158897321,6456.0,4,0,1,0,3
99602,0,0.190131667,50,60601,0,0.015972973999999997,237400.0,10,0,2,0,3
99621,0,0.447085654,33,60601,0,0.12252964400000001,6830.0,8,0,0,0,1
99634,0,0.314503254,43,60601,0,0.30212688600000004,5500.0,7,0,1,0,3
99642,0,0.015174928999999998,79,60601,0,0.09372083699999999,7500.0,14,0,1,0,0
99646,0,0.004329488,69,60601,0,1525.0,5250.0,8,0,1,0,0
99650,0,0.048090658,61,60601,1,0.19597200399999998,7000.0,7,0,1,0,8
