PersonID,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,zipcode,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
98976,0,0.9999999,55,60601,0,505,0,2,0,0,0,0
98991,0,0.547745225,71,60601,0,0.45956469,15666,7,0,2,0,0
99012,0,0.044280207,51,60601,0,0.014520352,4200,5,0,0,0,0
99023,0,0.914249294,55,60601,4,0.794874627,9052,12,0,3,0,0
99027,0,0.02659867,45,60601,0,0.049966369,10406,4,0,0,0,2
99033,0,0.142230692,57,60601,0,0.015332198,13500,6,0,0,0,0
99044,0,0.047600659,48,60601,0,0.474609375,3583,13,0,1,0,1
99048,0,0.022141276,34,60601,0,0.003332099,2700,2,0,0,0,1
99056,0,0.241805016,30,60601,0,0.864451632,3400,13,0,1,0,1
99058,0,0.036181472,71,60601,0,0.568798258,5050,16,0,2,0,0
99062,0,0,50,60601,0,0.541984733,2750,6,0,1,0,0
99104,0,0,26,60601,0,0,2901,2,0,0,0,0
99105,0,0.007720507,64,60601,0,0.606957217,2500,12,0,1,0,0
99145,0,0.549206628,61,60601,0,2107,,8,0,2,0,1
99147,0,0.183321112,39,60601,0,775,,4,0,0,0,0
99176,0,0,66,60601,0,0,3393,3,0,0,0,0
99193,0,0.9999999,32,60601,0,0.388189987,3894,3,0,1,0,2
99200,0,0.056328581,64,60601,0,0.01533163,9000,7,0,0,0,0
99206,0,0.828018468,45,60601,0,0.660603113,10279,9,0,2,0,4
99217,0,0.029996908,76,60601,0,0.003635537,4400,7,0,0,0,0
99218,0,0.607678538,73,60601,0,0.316967617,6700,8,0,2,1,0
99224,0,0.099190081,41,60601,0,0.4452,4999,7,0,2,0,0
99233,0,0.019668694,60,60601,0,0.281565791,9400,16,0,2,0,1
99238,0,0.001097093,43,60601,0,0.29613407,5250,8,0,1,0,0
99246,0,0.36535386,45,60601,1,0.277836598,11333,18,0,3,0,2
99249,0,0.325002927,56,60601,0,0.943579489,7000,7,0,2,0,2
99262,0,0.9999999,73,60601,0,0.812551953,2405,3,0,1,0,0
99267,0,0.018174207,63,60601,0,45,,4,0,0,0,0
99271,0,0.125350795,34,60601,0,0.926029588,2500,5,0,2,0,0
99284,0,0,39,60601,0,0.440095994,5416,6,0,2,0,2
99289,0,0.9999999,30,60601,0,0.815092454,2000,3,0,1,0,1
99300,0,0,72,60601,0,69,,6,0,0,0,0
99302,0,0.00720612,67,60601,0,11279,,10,0,4,0,0
99311,0,0.046263582,35,60601,1,518,,8,0,0,0,0
99315,0,0.02018697,47,60601,0,2.228739003,3068,16,0,4,0,0
99323,0,0,32,60601,0,0,3360,3,0,0,0,1
99371,0,0.026069161,49,60601,0,0.666344138,6200,10,0,2,0,2
99375,0,0.010159187,64,60601,2,2804,,11,0,1,0,0
99378,0,0.133801319,55,60601,0,0.037520236,10500,10,0,0,0,0
99411,0,0.05331327,52,60601,0,0.191121776,8334,6,0,1,0,0
99415,0,0.041988022,62,60601,0,0.413062409,3444,11,0,2,0,1
99417,0,0.253186946,56,60601,0,0.720537617,6100,11,0,2,0,0
99422,0,4.00E-05,56,60601,0,0.403935032,15145,6,0,4,0,0
99424,0,0.027881093,70,60601,0,0.421020093,3234,17,0,1,0,1
99432,0,0.455140442,33,60601,0,671,,5,0,0,0,1
99457,0,0.017736375,48,60601,0,489,,5,0,0,0,
99458,0,0.040805297,57,60601,0,0.251523901,3116,3,0,1,0,0
99465,0,0.122555158,48,60601,0,2651,,14,0,2,0,0
99469,0,0.017899494,49,60601,0,0.356264374,10000,13,0,2,0,0
99471,0,0.887056472,24,60601,0,0.043978011,2000,3,0,0,0,0
99479,0,0.9999999,52,60601,1,0.214447978,2200,2,1,0,0,0
99485,0,0.006477852,64,60601,0,0.175743225,3800,5,0,0,0,0
99503,0,0.023764943,40,60601,0,0.386568945,5866,9,0,2,0,1
99515,0,0.010704329,73,60601,0,0.002161928,9250,10,0,0,0,0
99525,0,0.019736323,52,60601,0,0.150284572,6500,9,0,1,0,0
99527,0,0.085054331,56,60601,3,7708,,20,0,10,0,0
99541,0,0.408157007,54,60601,0,0.393989983,9583,15,0,1,0,0
99549,0,0.695260948,30,60601,0,0.186932849,550,2,0,0,0,0
99566,0,0.548679398,35,60601,0,0.46102284,12083,10,0,2,0,4
99574,0,0.085420436,72,60601,0,0.285164835,7279,15,0,1,0,0
99597,0,0,49,60601,0,0.158897321,6456,4,0,1,0,3
99602,0,0.190131667,50,60601,0,0.015972974,237400,10,0,2,0,3
99621,0,0.447085654,33,60601,0,0.122529644,6830,8,0,0,0,1
99634,0,0.314503254,43,60601,0,0.302126886,5500,7,0,1,0,3
99642,0,0.015174929,79,60601,0,0.093720837,7500,14,0,1,0,0
99646,0,0.004329488,69,60601,0,1525,,8,0,1,0,
99650,0,0.048090658,61,60601,1,0.195972004,7000,7,0,1,0,8
99673,0,0.545779836,28,60601,0,77,,2,0,0,0,0
99683,0,0,51,60601,0,0,,1,0,0,0,0
99722,0,0.002896096,83,60601,0,0.446605037,3136,6,0,1,0,1
99749,0,0.539518481,62,60601,0,1.242348532,1600,10,0,1,0,0
99759,0,0.168838252,37,60601,0,0.723138431,2000,4,0,1,0,2
99760,0,0.013857987,75,60601,0,0.163870681,9000,9,0,1,0,0
99769,0,0.118036748,49,60601,1,0.114760014,2770,5,0,0,0,1
99773,0,0,45,60601,0,0.188721289,5833,6,0,1,0,3
99781,0,0.022047269,64,60601,0,0.179836134,7200,6,0,1,0,1
99789,0,0.398111899,64,60601,0,2580,,7,0,2,0,0
99797,0,0.836014517,41,60601,1,0.148932995,6700,11,0,0,0,0
99805,0,0.662161271,51,60601,0,0.772756342,4690,9,0,2,0,1
99818,0,0.008077735,78,60601,0,0.001714122,10500,12,0,0,0,0
99820,0,0.003846006,59,60601,0,0.185109489,6849,3,0,1,0,0
99826,0,0.049067403,67,60601,0,0.732110752,2780,13,0,2,0,0
99832,0,0.078687912,32,60601,0,560,,7,0,0,0,0
99841,0,0,56,60601,0,0.738840773,1500,3,0,1,0,1
99869,0,0.045380875,61,60601,0,2676,,7,0,2,0,0
99899,0,0.273003587,41,60601,0,0.444740701,7500,8,0,2,0,0
99914,0,0.062837487,65,60601,0,0.393318147,5267,10,0,1,0,0
99926,0,0.04214579,60,60601,0,0.306849645,16613,12,0,1,0,1
99931,0,0.028918867,42,60601,0,0.38223111,7000,5,0,1,0,0
99949,0,0.080894814,33,60601,0,0.138413686,4500,7,0,0,0,2
99951,0,0.9999999,80,60601,0,0,,4,0,0,0,
99958,0,0.002460828,65,60601,0,0.252077172,7100,19,0,1,0,0
99960,0,0.018184056,37,60601,0,0.439056094,10000,6,0,1,0,1
99968,0,0.877215013,54,60601,5,2020,,12,0,1,0,1
99973,0,0.044923877,65,60601,0,1.054518072,3319,8,0,2,0,0
99977,0,0.004008057,64,60601,0,0.222166667,5999,19,0,1,0,0
99981,0,0,40,60601,0,0.903654485,300,6,0,0,0,3
99987,0,0,64,60601,0,200,,3,0,1,0,
99993,0,0.001952646,59,60601,0,0.001142748,10500,13,0,0,0,0
99996,0,0.558444392,40,60601,0,3034,,8,0,2,0,0
99999,0,0.087245638,44,60601,0,0.305138972,5000,5,0,2,0,2
100002,0,0.043495228,79,60601,0,0.269365317,4001,7,0,1,0,0
100003,0,0.854723182,47,60601,0,0.855018587,5379,22,0,3,0,3
100015,0,0.988167653,27,60601,0,3934,,7,0,2,0,3
100036,0,0.954045954,24,60601,0,28,0,1,1,0,0,0
100067,0,0.47690614,45,60601,0,0.460764436,13316,16,0,2,0,1
100072,0,0.686517888,65,60601,0,0.52173913,1241,8,0,0,0,0
100079,0,0.566178687,58,60601,0,0.870578327,3561,15,0,4,0,0
100080,0,0.087119555,71,60601,0,41,,5,0,0,0,0
100100,0,0.836560893,47,60601,0,0.480676793,5200,13,0,0,0,4
100101,0,0.063058773,64,60601,0,2047,,10,0,1,0,0
100119,0,0.417872773,53,60601,1,0.635373847,9000,19,0,4,0,0
